Date,Activity,Activity type,Unit,Amount planned
2025-01-29,Iron mining,Railway,m3,2181.3648215715093
2025-08-02,Rolling/Tractor,Road,m2,266.34950163373696
2025-10-08,Removing trees,Building,m2,4534.648808233234
2025-05-04,Pavement,Road,m2,1804.9425068645585
2025-10-07,Iron mining,Railway,m3,3388.579546061631
2025-09-20,Subbase application,Road,m2,2800.514544781727
2025-05-12,Iron mining,Railway,m3,22.381209265647794
2025-01-08,Foundation pouring,Building,m3,1351.1526722840918
2025-09-20,Ballast,Railway,m3,4804.411738471763
2025-12-15,Laying steel rail,Railway,m,372.34570483853645
2025-01-12,Iron mining,Railway,m3,810.6600294195443
2025-11-27,Cement making,Building,m3,2688.4827206433138
2025-07-26,Iron mining,Railway,m3,139.73294628625678
2025-09-13,Cement making,Building,m3,3823.173526092105
2025-03-13,Removing trees,Building,m2,628.8514119074517
2025-07-19,Laying steel rail,Railway,m,4745.72102403247
2025-07-20,Rolling/Tractor,Road,m2,3846.7796218575954
2025-02-28,Terrain leveling,Building,m3,1701.5496794619046
2025-12-05,Laying steel rail,Railway,m,1654.1224909749076
2025-01-11,Terrain leveling,Building,m3,1798.144359466059
2025-11-08,Subbase application,Road,m2,2697.979681784158
2025-03-07,Ballast,Railway,m3,302.4668072952058
2025-05-24,Foundation pouring,Building,m3,3474.875780491904
2025-01-17,Coat preparation,Road,L,2932.6470769486373
2025-01-31,Coat preparation,Road,L,940.8707266007133
2025-02-21,Foundation pouring,Building,m3,4582.133448486368
2025-08-23,Walling,Building,m2,4567.882265172745
2025-11-28,Ballast,Railway,m3,3418.9276418872246
2025-12-17,Laying steel rail,Railway,m,596.9530353327867
2025-02-22,Anchorage,Railway,m2,3660.9180512619932
2025-09-07,Removing trees,Building,m2,2488.302602766007
2025-05-26,Anchorage,Railway,m2,4279.913710974114
2025-11-07,Pavement,Road,m2,39.69764936506748
2025-12-05,Rolling/Tractor,Road,m2,3655.4001424119297
2025-12-13,Rolling/Tractor,Road,m2,773.542821975986
2025-04-07,Terrain leveling,Building,m3,3742.303446366004
2025-03-23,Coat preparation,Road,L,2273.0685687918162
2025-11-03,Cement making,Building,m3,2577.5335351653644
2025-01-03,Foundation pouring,Building,m3,1582.3961613348931
2025-06-11,Rolling/Tractor,Road,m2,2104.5464409158544
2025-12-09,Cement making,Building,m3,4336.796397246752
2025-11-09,Pavement,Road,m2,2004.750179415628
2025-11-05,Pavement,Road,m2,3330.1857009784426
2025-07-24,Pavement,Road,m2,4884.782491878697
2025-03-17,Walling,Building,m2,988.2754519575437
2025-06-09,Ballast,Railway,m3,3159.4008490709334
2025-01-02,Laying steel rail,Railway,m,2038.625087375503
2025-03-05,Walling,Building,m2,2905.2015649930013
2025-07-08,Removing trees,Building,m2,4253.339879349361
2025-04-13,Terrain leveling,Building,m3,939.2498586941622
2025-04-23,Pavement,Road,m2,3795.875641482524
2025-07-15,Rolling/Tractor,Road,m2,2231.984454698998
2025-07-01,Rolling/Tractor,Road,m2,599.3046712762263
2025-06-23,Terrain leveling,Building,m3,3312.8130211072003
2025-04-15,Terrain leveling,Building,m3,3617.7842115019166
2025-04-08,Removing trees,Building,m2,1621.4276657449227
2025-01-12,Rolling/Tractor,Road,m2,4363.544050619663
2025-07-24,Anchorage,Railway,m2,334.14536232724777
2025-12-22,Removing trees,Building,m2,3115.5460741057072
2025-02-05,Terrain leveling,Building,m3,323.0523123940565
2025-09-27,Cement making,Building,m3,4669.507288377007
2025-02-15,Subbase application,Road,m2,1841.2588014389253
2025-03-28,Walling,Building,m2,708.041540404134
2025-05-10,Ballast,Railway,m3,4759.442597164832
2025-11-05,Removing trees,Building,m2,3379.4614890923003
2025-04-18,Foundation pouring,Building,m3,680.6665952361418
2025-08-16,Ballast,Railway,m3,3668.857096138517
2025-05-04,Rolling/Tractor,Road,m2,3740.2532759028536
2025-12-04,Rolling/Tractor,Road,m2,3669.3766075638
2025-03-21,Removing trees,Building,m2,4047.6255183352328
2025-06-04,Anchorage,Railway,m2,1068.5057317988567
2025-09-13,Foundation pouring,Building,m3,3474.271016276167
2025-07-11,Laying steel rail,Railway,m,2566.2564612606247
2025-01-28,Rolling/Tractor,Road,m2,4247.464044839539
2025-07-27,Pavement,Road,m2,661.62097722968
2025-05-30,Anchorage,Railway,m2,718.6128300905282
2025-03-10,Foundation pouring,Building,m3,1261.849098607421
2025-08-08,Subbase application,Road,m2,1867.9564679020627
2025-11-22,Foundation pouring,Building,m3,976.9075962121149
2025-04-13,Foundation pouring,Building,m3,4948.084704774732
2025-12-21,Pavement,Road,m2,4209.053760777882
2025-04-14,Rolling/Tractor,Road,m2,4006.02320173998
2025-07-02,Terrain leveling,Building,m3,2294.3874293799045
2025-05-06,Rolling/Tractor,Road,m2,3440.4236534271413
2025-07-10,Foundation pouring,Building,m3,1918.4752890212187
2025-05-01,Anchorage,Railway,m2,2814.1074253782494
2025-12-03,Foundation pouring,Building,m3,1839.988651199403
2025-06-04,Ballast,Railway,m3,1654.5905526892668
2025-03-15,Walling,Building,m2,3002.4566045516426
2025-09-03,Iron mining,Railway,m3,222.39894073199818
2025-05-01,Pavement,Road,m2,4391.7840976018815
2025-02-23,Subbase application,Road,m2,229.4732922283832
2025-04-03,Subbase application,Road,m2,3362.5577445885883
2025-08-18,Walling,Building,m2,3252.645990451287
2025-12-20,Laying steel rail,Railway,m,4575.191113339946
2025-07-10,Rolling/Tractor,Road,m2,4349.3102750756925
2025-06-08,Terrain leveling,Building,m3,4483.82695176988
2025-10-11,Terrain leveling,Building,m3,867.6157818225844
2025-01-09,Anchorage,Railway,m2,1426.204840504099
2025-10-02,Removing trees,Building,m2,1109.835675615079
2025-02-14,Removing trees,Building,m2,3585.347017049483
2025-10-18,Anchorage,Railway,m2,2797.3369761346466
2025-11-30,Laying steel rail,Railway,m,4322.243135921714
2025-06-11,Rolling/Tractor,Road,m2,875.5941632473935
2025-10-13,Anchorage,Railway,m2,881.4208849654998
2025-05-15,Pavement,Road,m2,3249.0743816455038
2025-07-22,Cement making,Building,m3,2119.4400278102416
2025-08-31,Rolling/Tractor,Road,m2,4444.069266294827
2025-04-21,Laying steel rail,Railway,m,3431.3907033104415
2025-05-16,Anchorage,Railway,m2,2842.558484985282
2025-11-06,Coat preparation,Road,L,4293.232448308003
2025-08-11,Cement making,Building,m3,4126.213500350329
2025-09-22,Anchorage,Railway,m2,998.4746910847814
2025-07-01,Cement making,Building,m3,515.3127454103584
2025-06-16,Removing trees,Building,m2,4055.8420573711483
2025-04-20,Cement making,Building,m3,3615.6646608955257
2025-10-24,Subbase application,Road,m2,1999.1290655355754
2025-04-01,Ballast,Railway,m3,3514.9913979154535
2025-01-01,Terrain leveling,Building,m3,3819.7627636957623
2025-01-06,Subbase application,Road,m2,3750.3762152124164
2025-02-05,Ballast,Railway,m3,2004.3341699078321
2025-11-27,Terrain leveling,Building,m3,2936.4606098698955
2025-07-07,Removing trees,Building,m2,2990.6210264862398
2025-06-15,Laying steel rail,Railway,m,3970.5882720031395
2025-01-09,Coat preparation,Road,L,3352.831127137218
2025-08-05,Cement making,Building,m3,4570.926807618794
2025-07-04,Coat preparation,Road,L,1905.7862230151807
2025-06-28,Coat preparation,Road,L,2446.007461296639
2025-05-20,Coat preparation,Road,L,2253.720237336219
2025-10-05,Removing trees,Building,m2,112.73552469932557
2025-09-04,Removing trees,Building,m2,3786.8627542630006
2025-05-25,Coat preparation,Road,L,1482.7618881483174
2025-04-03,Pavement,Road,m2,4291.964656770773
2025-10-02,Subbase application,Road,m2,2016.5350531873144
2025-03-12,Coat preparation,Road,L,3844.706427945227
2025-01-28,Laying steel rail,Railway,m,3927.1409240331295
2025-06-12,Terrain leveling,Building,m3,505.2266664042304
2025-01-09,Cement making,Building,m3,1513.320386622784
2025-03-26,Removing trees,Building,m2,1164.8644996133821
2025-06-03,Pavement,Road,m2,858.3259732400045
2025-09-25,Terrain leveling,Building,m3,4174.094290628612
2025-06-11,Coat preparation,Road,L,3478.4394350760736
2025-07-12,Coat preparation,Road,L,4709.344548483704
2025-04-20,Subbase application,Road,m2,906.2634746822462
2025-01-20,Iron mining,Railway,m3,3160.1423257237893
2025-12-01,Removing trees,Building,m2,3997.969724334888
2025-09-18,Anchorage,Railway,m2,4697.380310845372
2025-12-19,Cement making,Building,m3,2043.526687955194
2025-05-02,Foundation pouring,Building,m3,4037.4008698614016
2025-12-18,Rolling/Tractor,Road,m2,1601.9391238089631
2025-05-28,Anchorage,Railway,m2,4773.3630207936
2025-09-15,Foundation pouring,Building,m3,2681.456925094231
2025-10-03,Anchorage,Railway,m2,2392.6909642517335
2025-05-15,Cement making,Building,m3,1223.6857178983173
2025-03-28,Rolling/Tractor,Road,m2,3734.3719847479556
2025-08-09,Ballast,Railway,m3,351.073339742945
2025-11-01,Iron mining,Railway,m3,3518.9161316630357
2025-04-17,Iron mining,Railway,m3,1004.2250493874916
2025-06-17,Walling,Building,m2,3172.7410716507397
2025-12-05,Rolling/Tractor,Road,m2,3168.1813269097242
2025-01-28,Pavement,Road,m2,4292.784441115277
2025-03-22,Terrain leveling,Building,m3,1088.808680215078
2025-01-26,Rolling/Tractor,Road,m2,4190.857086839974
2025-06-09,Foundation pouring,Building,m3,1669.8087398963285
2025-10-03,Ballast,Railway,m3,314.56691118171454
2025-02-04,Foundation pouring,Building,m3,559.9318319328145
2025-01-09,Walling,Building,m2,2365.8949088338873
2025-02-28,Cement making,Building,m3,1465.5429362673528
2025-12-19,Terrain leveling,Building,m3,2392.380922015346
2025-09-22,Foundation pouring,Building,m3,3616.8668213013734
2025-10-07,Anchorage,Railway,m2,381.4495263933654
2025-10-23,Laying steel rail,Railway,m,472.5355608188364
2025-11-13,Removing trees,Building,m2,3177.1215399301273
2025-03-27,Foundation pouring,Building,m3,4046.36965228158
2025-12-18,Pavement,Road,m2,2201.036404000363
2025-11-02,Terrain leveling,Building,m3,3296.8906542633317
2025-01-26,Ballast,Railway,m3,3196.543456655856
2025-08-29,Removing trees,Building,m2,2932.526930972797
2025-02-27,Terrain leveling,Building,m3,1335.1854417528975
2025-05-09,Pavement,Road,m2,4586.843593377598
2025-12-27,Terrain leveling,Building,m3,698.1335291798807
2025-03-25,Subbase application,Road,m2,3425.7809484581107
2025-01-08,Walling,Building,m2,3649.3650817921935
2025-11-12,Laying steel rail,Railway,m,2914.5852935750977
2025-03-10,Iron mining,Railway,m3,1590.2916880644302
2025-11-15,Subbase application,Road,m2,3231.9918064981575
2025-11-20,Rolling/Tractor,Road,m2,2274.2287347228894
2025-08-23,Ballast,Railway,m3,1943.7817797809203
2025-09-17,Cement making,Building,m3,4369.97503774859
2025-08-22,Foundation pouring,Building,m3,291.96371332799845
2025-04-19,Removing trees,Building,m2,3512.6851928061924
2025-09-10,Coat preparation,Road,L,1308.7840286306812
2025-01-06,Rolling/Tractor,Road,m2,242.34065538940973
2025-04-27,Anchorage,Railway,m2,4900.186247093157
2025-06-27,Iron mining,Railway,m3,3190.049642842379
2025-03-15,Anchorage,Railway,m2,769.217127904755
2025-01-28,Walling,Building,m2,674.0546538712416
2025-07-12,Anchorage,Railway,m2,2258.6069871607974
2025-02-26,Rolling/Tractor,Road,m2,2664.044137036191
2025-01-20,Cement making,Building,m3,2810.0859816106795
2025-01-30,Terrain leveling,Building,m3,3376.8210429134783
2025-09-28,Cement making,Building,m3,3177.0774790651403
2025-01-20,Cement making,Building,m3,2700.669906008268
2025-06-11,Pavement,Road,m2,932.7265059210882
2025-05-28,Ballast,Railway,m3,3191.3127728752024
2025-04-27,Anchorage,Railway,m2,2316.6810282120596
2025-07-31,Rolling/Tractor,Road,m2,1629.9836801447148
2025-04-06,Iron mining,Railway,m3,3425.8804448477604
2025-05-06,Ballast,Railway,m3,1534.0733840055354
2025-08-27,Pavement,Road,m2,3025.471796227234
2025-01-06,Cement making,Building,m3,1622.569145613703
2025-11-12,Subbase application,Road,m2,418.86301337092533
2025-10-26,Anchorage,Railway,m2,1981.0888395801658
2025-09-30,Rolling/Tractor,Road,m2,438.2271217530259
2025-09-27,Iron mining,Railway,m3,3572.999074332317
2025-04-23,Coat preparation,Road,L,500.2426860821818
2025-01-14,Terrain leveling,Building,m3,191.61172759114388
2025-03-27,Laying steel rail,Railway,m,102.632124553097
2025-08-18,Anchorage,Railway,m2,1940.8454538676822
2025-08-23,Anchorage,Railway,m2,2135.6421452238906
2025-02-06,Walling,Building,m2,3724.4542959359574
2025-10-11,Iron mining,Railway,m3,2953.8890263704966
2025-06-06,Foundation pouring,Building,m3,982.7994260599144
2025-02-13,Subbase application,Road,m2,4537.221109565341
2025-07-19,Walling,Building,m2,1366.3484190464064
2025-04-07,Subbase application,Road,m2,3988.060642623499
2025-03-03,Foundation pouring,Building,m3,3111.2234331057325
2025-04-06,Terrain leveling,Building,m3,2525.090599907125
2025-11-28,Pavement,Road,m2,2378.103379404014
2025-08-06,Pavement,Road,m2,1481.5316512645365
2025-06-19,Ballast,Railway,m3,3634.962969529136
2025-10-10,Subbase application,Road,m2,277.3591175950008
2025-07-29,Anchorage,Railway,m2,3569.1756893601096
2025-04-22,Iron mining,Railway,m3,1069.7886708914289
2025-11-06,Subbase application,Road,m2,3877.505551231175
2025-01-17,Ballast,Railway,m3,4690.702314546139
2025-08-26,Cement making,Building,m3,1334.8980340341548
2025-02-05,Anchorage,Railway,m2,4433.289969194921
2025-05-14,Ballast,Railway,m3,1625.5814449927802
2025-08-09,Cement making,Building,m3,367.29570624454146
2025-10-04,Iron mining,Railway,m3,1732.9963377683528
2025-08-21,Pavement,Road,m2,741.5201592382481
2025-02-11,Pavement,Road,m2,4038.0575571523254
2025-08-03,Foundation pouring,Building,m3,6.644243124176996
2025-05-06,Anchorage,Railway,m2,4337.158595454726
2025-06-23,Cement making,Building,m3,378.3907413188331
2025-10-12,Foundation pouring,Building,m3,3540.486234972023
2025-04-21,Cement making,Building,m3,1212.2878045937452
2025-07-08,Terrain leveling,Building,m3,4985.298568407144
2025-10-03,Rolling/Tractor,Road,m2,4812.9694584785575
2025-09-13,Ballast,Railway,m3,1844.924530160304
2025-06-23,Ballast,Railway,m3,3423.557094102106
2025-05-01,Pavement,Road,m2,3638.795431393541
2025-11-09,Coat preparation,Road,L,3789.093597596516
2025-07-22,Anchorage,Railway,m2,1067.6519103156845
2025-08-09,Rolling/Tractor,Road,m2,1851.4999930983017
2025-11-12,Terrain leveling,Building,m3,1386.367154428464
2025-05-17,Removing trees,Building,m2,1285.739295504354
2025-08-28,Laying steel rail,Railway,m,3969.1692384353805
2025-10-21,Foundation pouring,Building,m3,3935.7937294699004
2025-10-08,Removing trees,Building,m2,162.37390675285678
2025-01-14,Foundation pouring,Building,m3,4947.092149109312
2025-05-18,Foundation pouring,Building,m3,2611.3688333498126
2025-03-03,Foundation pouring,Building,m3,2945.902859519093
2025-05-21,Foundation pouring,Building,m3,4.226250895612016
2025-04-03,Subbase application,Road,m2,4897.08250619969
2025-04-06,Iron mining,Railway,m3,1216.0280767749166
2025-05-24,Anchorage,Railway,m2,2924.939286931735
2025-02-22,Walling,Building,m2,1647.2081156261404
2025-09-25,Iron mining,Railway,m3,2037.7210426674653
2025-05-17,Rolling/Tractor,Road,m2,4716.779687741941
2025-08-05,Foundation pouring,Building,m3,4218.625367278129
2025-08-13,Laying steel rail,Railway,m,1947.4069612259054
2025-05-11,Anchorage,Railway,m2,3083.889608767394
2025-05-22,Subbase application,Road,m2,4423.4771155476
2025-09-17,Pavement,Road,m2,4344.456584012536
2025-03-24,Subbase application,Road,m2,1034.5751904863082
2025-02-02,Anchorage,Railway,m2,4709.311533950168
2025-03-10,Rolling/Tractor,Road,m2,1363.3741527785699
2025-11-03,Laying steel rail,Railway,m,4937.604990606689
2025-08-03,Walling,Building,m2,3226.6324080462377
2025-01-20,Foundation pouring,Building,m3,2269.248640072597
2025-12-23,Rolling/Tractor,Road,m2,1227.8027486560838
2025-11-12,Iron mining,Railway,m3,1960.3014990873507
2025-04-30,Cement making,Building,m3,3586.1458917035134
2025-02-10,Iron mining,Railway,m3,4625.039962186189
2025-04-08,Iron mining,Railway,m3,2436.0339467241197
2025-06-14,Ballast,Railway,m3,3280.378495408053
2025-03-26,Iron mining,Railway,m3,3566.5164307147124
2025-06-06,Laying steel rail,Railway,m,623.918331816244
2025-06-19,Walling,Building,m2,629.77055284689
2025-03-24,Walling,Building,m2,112.3505097639682
2025-09-15,Walling,Building,m2,2481.7232503692694
2025-05-22,Cement making,Building,m3,4784.6125594343575
2025-07-04,Iron mining,Railway,m3,3932.2237608115247
2025-04-05,Cement making,Building,m3,1670.8573809706745
2025-11-06,Cement making,Building,m3,1538.3671330048353
2025-12-17,Foundation pouring,Building,m3,4705.06034133818
2025-05-25,Cement making,Building,m3,3544.9859893329394
2025-06-27,Ballast,Railway,m3,711.4854188962877
2025-06-09,Terrain leveling,Building,m3,3892.3853028611084
2025-05-08,Laying steel rail,Railway,m,643.130642196088
2025-06-12,Removing trees,Building,m2,3713.9199732565685
2025-08-07,Cement making,Building,m3,1427.9329848696675
2025-01-04,Iron mining,Railway,m3,2635.1904718829037
2025-01-10,Ballast,Railway,m3,3624.5727687029726
2025-08-20,Foundation pouring,Building,m3,3772.040448308855
2025-04-17,Removing trees,Building,m2,437.17830547563005
2025-03-04,Anchorage,Railway,m2,3775.123205836821
2025-09-22,Anchorage,Railway,m2,2304.4792086373104
2025-08-17,Walling,Building,m2,2862.873372651298
2025-02-26,Subbase application,Road,m2,1315.7526957421612
2025-05-16,Coat preparation,Road,L,3159.9873087963574
2025-01-15,Terrain leveling,Building,m3,649.3709356384059
2025-10-20,Coat preparation,Road,L,62.037273152770744
2025-09-05,Terrain leveling,Building,m3,3350.421097378144
2025-07-28,Cement making,Building,m3,4885.070434816351
2025-02-21,Rolling/Tractor,Road,m2,3316.5839949803576
2025-11-19,Anchorage,Railway,m2,3947.7959547363666
2025-11-25,Foundation pouring,Building,m3,835.5126860562962
2025-06-16,Subbase application,Road,m2,4048.4378850579255
2025-04-06,Coat preparation,Road,L,3385.955609070108
2025-11-30,Removing trees,Building,m2,1223.0907061012658
2025-12-23,Foundation pouring,Building,m3,386.842840468396
2025-05-13,Rolling/Tractor,Road,m2,3751.4158079036065
2025-11-23,Iron mining,Railway,m3,2845.8789340089847
2025-08-02,Ballast,Railway,m3,3762.070368840537
2025-11-28,Pavement,Road,m2,348.61132902136995
2025-04-15,Removing trees,Building,m2,4997.06717999624
2025-06-21,Ballast,Railway,m3,4951.616321202908
2025-05-04,Terrain leveling,Building,m3,2443.3912373511434
2025-12-09,Iron mining,Railway,m3,3444.858651255372
2025-03-25,Laying steel rail,Railway,m,3613.094286919828
2025-06-08,Subbase application,Road,m2,4258.33007507547
2025-03-01,Coat preparation,Road,L,4340.570774135587
2025-11-03,Subbase application,Road,m2,1371.005023721482
2025-06-01,Laying steel rail,Railway,m,517.9844056525945
2025-01-17,Anchorage,Railway,m2,4784.611198238178
2025-07-01,Subbase application,Road,m2,2266.4324227901616
2025-03-21,Pavement,Road,m2,3033.6945079351613
2025-01-25,Terrain leveling,Building,m3,560.3495268465625
2025-01-02,Cement making,Building,m3,4384.357051736186
2025-06-08,Removing trees,Building,m2,2314.192601660652
2025-06-16,Cement making,Building,m3,1628.6117474601951
2025-10-29,Laying steel rail,Railway,m,791.2918475809566
2025-03-24,Removing trees,Building,m2,3995.6668891113286
2025-01-15,Pavement,Road,m2,901.991348458826
2025-06-19,Iron mining,Railway,m3,4696.130712176559
2025-04-17,Anchorage,Railway,m2,1378.26164156215
2025-07-02,Terrain leveling,Building,m3,3994.998342669115
2025-07-26,Cement making,Building,m3,2910.683372278438
2025-07-02,Anchorage,Railway,m2,713.606406331449
2025-09-01,Removing trees,Building,m2,1436.2551506909215
2025-08-02,Terrain leveling,Building,m3,1413.144215916743
2025-04-19,Anchorage,Railway,m2,1806.4578441982453
2025-09-13,Subbase application,Road,m2,670.8089587948263
2025-03-19,Terrain leveling,Building,m3,2838.3341195168764
2025-08-09,Terrain leveling,Building,m3,1266.6624178280722
2025-08-13,Walling,Building,m2,1160.3679314450953
2025-09-11,Laying steel rail,Railway,m,3431.450211013281
2025-10-14,Cement making,Building,m3,2572.3302969436168
2025-11-21,Subbase application,Road,m2,2724.2110139888546
2025-04-24,Coat preparation,Road,L,4716.1049598623
2025-09-08,Coat preparation,Road,L,4508.945659405313
2025-08-25,Cement making,Building,m3,3434.2332455719716
2025-07-20,Laying steel rail,Railway,m,1261.8091155890638
2025-01-31,Iron mining,Railway,m3,4115.36326844133
2025-10-25,Pavement,Road,m2,4178.499080122191
2025-08-03,Anchorage,Railway,m2,3791.1393365873473
2025-12-17,Walling,Building,m2,1364.368193088606
2025-09-27,Pavement,Road,m2,4566.896141825244
2025-06-14,Terrain leveling,Building,m3,2610.296196431878
2025-05-14,Anchorage,Railway,m2,4807.775042981814
2025-03-27,Terrain leveling,Building,m3,702.904870212564
2025-11-17,Terrain leveling,Building,m3,4140.875349623965
2025-12-20,Removing trees,Building,m2,1940.034154941448
2025-09-08,Subbase application,Road,m2,2910.49060403072
2025-04-01,Foundation pouring,Building,m3,1057.6700778820114
2025-05-19,Removing trees,Building,m2,1984.420244805581
2025-04-01,Pavement,Road,m2,2893.2130143321388
2025-12-05,Anchorage,Railway,m2,1361.2510428348446
2025-06-29,Foundation pouring,Building,m3,3566.9959491126215
2025-08-21,Iron mining,Railway,m3,4587.1724255403915
2025-08-20,Iron mining,Railway,m3,1748.5586455502244
2025-04-09,Pavement,Road,m2,2631.5355917987554
2025-02-04,Laying steel rail,Railway,m,1159.9861394943011
2025-03-21,Cement making,Building,m3,2277.551120588941
2025-07-18,Anchorage,Railway,m2,2063.6418146325227
2025-02-07,Foundation pouring,Building,m3,2802.1897948306037
2025-09-23,Walling,Building,m2,4278.2428349688425
2025-04-12,Subbase application,Road,m2,400.82802377605196
2025-01-21,Foundation pouring,Building,m3,4692.204576454601
2025-04-06,Foundation pouring,Building,m3,470.15646278328546
2025-01-24,Anchorage,Railway,m2,2207.6443940153786
2025-02-19,Anchorage,Railway,m2,1119.4232539469206
2025-11-08,Cement making,Building,m3,4197.899618451941
2025-11-16,Cement making,Building,m3,616.6447934090442
2025-04-02,Terrain leveling,Building,m3,1525.7596514018408
2025-03-19,Laying steel rail,Railway,m,2483.828050124513
2025-01-08,Rolling/Tractor,Road,m2,4813.092943942156
2025-08-27,Removing trees,Building,m2,3583.679317212473
2025-09-15,Cement making,Building,m3,323.80257391168345
2025-09-26,Subbase application,Road,m2,1349.3186599656003
2025-06-30,Iron mining,Railway,m3,4604.078106290301
2025-09-30,Iron mining,Railway,m3,717.1050253043859
2025-12-10,Iron mining,Railway,m3,1984.1031456056041
2025-09-18,Terrain leveling,Building,m3,859.1356197322159
2025-03-09,Rolling/Tractor,Road,m2,2485.4912630431277
2025-08-14,Ballast,Railway,m3,1364.0045495946406
2025-08-15,Terrain leveling,Building,m3,384.890365705356
2025-12-10,Walling,Building,m2,1579.057369897462
2025-07-26,Rolling/Tractor,Road,m2,4176.916632059998
2025-11-05,Coat preparation,Road,L,761.1199673796448
2025-03-21,Laying steel rail,Railway,m,4463.753301265136
2025-03-20,Cement making,Building,m3,2951.3067369558216
2025-05-20,Iron mining,Railway,m3,113.61257511339873
2025-03-12,Ballast,Railway,m3,4918.25056690125
2025-10-16,Anchorage,Railway,m2,4099.46572788483
2025-04-05,Terrain leveling,Building,m3,3537.486980520738
2025-10-17,Laying steel rail,Railway,m,710.9876133314741
2025-01-06,Laying steel rail,Railway,m,1886.7346820205566
2025-04-15,Terrain leveling,Building,m3,1268.9317715334464
2025-08-01,Iron mining,Railway,m3,4540.750706354589
2025-08-24,Terrain leveling,Building,m3,2238.898590070699
2025-09-26,Walling,Building,m2,3808.00306006097
2025-06-14,Foundation pouring,Building,m3,401.82943922451864
2025-11-27,Rolling/Tractor,Road,m2,1336.663258843805
2025-12-19,Terrain leveling,Building,m3,4887.039030047091
2025-12-11,Foundation pouring,Building,m3,860.826727186339
2025-04-07,Anchorage,Railway,m2,4790.098752533035
2025-09-20,Rolling/Tractor,Road,m2,2200.2302934537465
2025-11-15,Anchorage,Railway,m2,3396.632338150865
2025-06-20,Cement making,Building,m3,1668.2634550735793
2025-01-06,Subbase application,Road,m2,1812.7422698351447
2025-03-27,Walling,Building,m2,2093.3170908741185
2025-02-17,Foundation pouring,Building,m3,4896.337366973762
2025-01-01,Cement making,Building,m3,4886.44026762567
2025-08-11,Terrain leveling,Building,m3,3608.475641995931
2025-12-11,Coat preparation,Road,L,2272.1936178032383
2025-05-11,Removing trees,Building,m2,3311.722371916215
2025-08-26,Walling,Building,m2,3577.1921258298007
2025-10-18,Coat preparation,Road,L,1669.587397753345
2025-01-20,Terrain leveling,Building,m3,3589.2002505770515
2025-10-10,Iron mining,Railway,m3,4917.854800826032
2025-04-12,Pavement,Road,m2,2565.2104082069327
2025-11-21,Laying steel rail,Railway,m,3639.933991748729
2025-01-06,Foundation pouring,Building,m3,2695.5323871858823
2025-07-29,Ballast,Railway,m3,273.50385612996797
2025-05-16,Ballast,Railway,m3,4297.736977460671
2025-08-04,Walling,Building,m2,3378.3225751508044
2025-10-30,Cement making,Building,m3,903.9048679622019
2025-09-21,Cement making,Building,m3,3913.1443026061484
2025-01-29,Foundation pouring,Building,m3,760.9714594904871
2025-12-16,Pavement,Road,m2,1095.596347770253
2025-10-17,Ballast,Railway,m3,240.36050440897793
2025-01-08,Removing trees,Building,m2,4779.39854897586
2025-12-03,Coat preparation,Road,L,2762.2449567064223
2025-04-20,Iron mining,Railway,m3,4089.5657473057604
2025-12-12,Iron mining,Railway,m3,203.7491096754257
2025-05-07,Iron mining,Railway,m3,2453.746567851536
2025-11-01,Subbase application,Road,m2,3360.643162320381
2025-12-08,Rolling/Tractor,Road,m2,286.49235500178895
2025-12-01,Ballast,Railway,m3,1959.406351681794
2025-12-11,Foundation pouring,Building,m3,1787.2797200420544
2025-03-27,Cement making,Building,m3,4421.146613840708
2025-03-05,Rolling/Tractor,Road,m2,1451.1573990713084
2025-05-08,Pavement,Road,m2,4120.324435321911
2025-05-22,Ballast,Railway,m3,1545.972184565902
2025-02-28,Pavement,Road,m2,4178.488395298755
2025-08-27,Foundation pouring,Building,m3,549.6138952453033
2025-11-17,Removing trees,Building,m2,914.6118526904123
2025-04-14,Pavement,Road,m2,1166.382853708492
2025-11-11,Iron mining,Railway,m3,4326.810341317598
2025-05-31,Anchorage,Railway,m2,3339.543965282704
2025-04-26,Walling,Building,m2,4402.2961605875735
2025-07-31,Removing trees,Building,m2,3667.9036593295405
2025-07-13,Pavement,Road,m2,2499.836354667446
2025-05-30,Pavement,Road,m2,2822.7122255476424
2025-06-27,Coat preparation,Road,L,2487.5344858458757
2025-02-12,Laying steel rail,Railway,m,2186.6088911619477
2025-07-01,Walling,Building,m2,73.65779203458212
2025-02-24,Removing trees,Building,m2,1722.3256915968243
2025-04-27,Iron mining,Railway,m3,3774.052876648621
2025-09-07,Laying steel rail,Railway,m,2483.459705536667
2025-11-02,Coat preparation,Road,L,1010.364916724566
2025-03-22,Pavement,Road,m2,2645.182785304175
2025-08-03,Subbase application,Road,m2,3832.1421823203636
2025-06-22,Rolling/Tractor,Road,m2,4136.061343965665
2025-12-29,Coat preparation,Road,L,4965.636394573845
2025-01-11,Walling,Building,m2,3054.312946929827
2025-01-01,Cement making,Building,m3,184.79790979976485
2025-10-07,Ballast,Railway,m3,3948.3664515082687
2025-10-22,Coat preparation,Road,L,2107.0353154837885
2025-11-26,Rolling/Tractor,Road,m2,2612.378739581836
2025-06-22,Terrain leveling,Building,m3,278.5988097163733
2025-05-19,Walling,Building,m2,1406.6628030620566
2025-05-15,Ballast,Railway,m3,3032.140207544731
